#
#    First two columns are Eta range.
#    Next 2 columns are PT range.
#    Column 5 & 6 & 7 shows the efficiency in data and statistical error.
#    Column 8 & 9 & 10 shows the efficiency in MC and statistical error.
#    Column 11 onwards (if available) shows the systematics uncertainty 
#
#    
#                                                 data                                                      MC
#     etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                      eff     deff_high       deff_low
0.8     1.2     40      60      0.984165        0.000962568      0.000962568               0.993803        0.000341831      0.000348845
1.2     1.6     40      60      0.992478        0.000981483      0.000997867               0.996743        0.000303335      0.000313517
1.6     2.1     40      60      0.989182        0.000940138      0.000958134               0.996543        0.000288691      0.000298786
2.1     2.4     40      60      0.943966        0.00243855       0.00247102                0.985366        0.000787097      0.000808399
-2.4    -2.1    60      100     0.938098        0.0121421        0.0122007                 0.988979        0.00346058       0.00346058
-2.1    -1.6    60      100     0.981994        0.00495448       0.00507341                0.996055        0.00121622       0.00131151
-1.6    -1.2    60      100     0.991166        0.00500862       0.00507273                0.99619 0.00134876       0.00144736
-1.2    -0.8    60      100     0.98003 0.00462599       0.00474103                        0.992506        0.00137477       0.0014505
-0.8    -0.3    60      100     0.973266        0.0045093        0.00458317                0.994343        0.00110446       0.00116574
-0.3    0.3     60      100     0.966195        0.00449082       0.00454946                0.987204        0.00132036       0.00136931
0.3     0.8     60      100     0.983162        0.00434877       0.00442934                0.994212        0.00110025       0.00116752
0.8     1.2     60      100     0.982203        0.00458915       0.00469991                0.992138        0.00143266       0.00152229
1.2     1.6     60      100     0.991229        0.00614462       0.00625155                0.99796 0.0013802        0.0014739
1.6     2.1     60      100     0.985567        0.00490106       0.00504603                0.995792        0.0013963        0.00148751
2.1     2.4     60      100     0.948495        0.011199         0.0113759                 0.983522        0.0030907        0.00326431
-2.4    -2.1    100     200     1       0        0.074562                                  0.999995        4.61343e-06      0.0132741
-2.1    -1.6    100     200     0.999999        0        0.0223558                         0.999999        0        0.00556471
-1.6    -1.2    100     200     0.982599        0.0174009        0.0228073                 0.999886        0.000113918      0.00556533
-1.2    -0.8    100     200     0.973065        0.0203434        0.0206594                 1       0        0.00177168
-0.8    -0.3    100     200     0.954512        0.0197724        0.0199018                 0.994221        0.0044258        0.00500797
-0.3    0.3     100     200     0.962194        0.0196006        0.0194939                 0.995848        0.0041524        0.00466577
0.3     0.8     100     200     0.96288 0.0198045        0.0199256                         0.991057        0.00438467       0.00491581
0.8     1.2     100     200     0.967101        0.0201072        0.0205729                 0.988334        0.00568511       0.00633922
1.2     1.6     100     200     1       0        0.0193074                                 1       0        0.00449781
1.6     2.1     100     200     0.982007        0.0179931        0.0260061                 0.991429        0.00591698       0.00679639
2.1     2.4     100     200     0.98828 0.0117197        0.0682087                         1       0        0.0116187
