mH_GeV  hbb            htt            hmm            hcc            hss            htoptop            hgluglu            hgg            hzg            hww            hzz            Total_Width_GeV
230.0  1.44e-03        1.75e-04        6.18e-07        7.07e-05        0.00e+00        0.00e+00        7.68e-04        3.25e-05        1.23e-04        7.07e-01        2.90e-01        2.73e+00
240.0  1.41e-03        1.72e-04        6.07e-07        6.89e-05        0.00e+00        0.00e+00        8.36e-04        3.19e-05        1.25e-04        7.04e-01        2.94e-01        3.29e+00
250.0  1.07e-03        1.32e-04        4.67e-07        5.25e-05        0.00e+00        0.00e+00        7.11e-04        2.44e-05        9.81e-05        7.01e-01        2.97e-01        3.92e+00
260.0  9.40e-04        1.16e-04        4.12e-07        4.60e-05        0.00e+00        4.21e-08        6.95e-04        2.14e-05        8.80e-05        6.99e-01        3.00e-01        4.63e+00
270.0  8.30e-04        1.03e-04        3.66e-07        4.06e-05        0.00e+00        2.28e-06        6.84e-04        1.88e-05        7.92e-05        6.96e-01        3.02e-01        5.41e+00
280.0  7.48e-04        9.39e-05        3.32e-07        3.66e-05        0.00e+00        1.12e-05        6.89e-04        1.69e-05        7.25e-05        6.94e-01        3.04e-01        6.27e+00
290.0  6.60e-04        8.34e-05        2.95e-07        3.23e-05        0.00e+00        3.12e-05        6.79e-04        1.49e-05        6.47e-05        6.93e-01        3.06e-01        7.21e+00
300.0  5.94e-04        7.55e-05        2.67e-07        2.91e-05        0.00e+00        7.01e-05        6.86e-04        1.33e-05        5.88e-05        6.91e-01        3.07e-01        8.23e+00
310.0  5.37e-04        6.87e-05        2.43e-07        2.63e-05        0.00e+00        1.41e-04        6.99e-04        1.19e-05        5.35e-05        6.90e-01        3.09e-01        9.35e+00
320.0  4.89e-04        6.28e-05        2.22e-07        2.39e-05        0.00e+00        2.71e-04        7.20e-04        1.08e-05        4.89e-05        6.88e-01        3.10e-01        1.06e+01
330.0  4.46e-04        5.77e-05        2.04e-07        2.18e-05        0.00e+00        5.32e-04        7.53e-04        9.76e-06        4.47e-05        6.87e-01        3.11e-01        1.19e+01
340.0  4.09e-04        5.31e-05        1.88e-07        2.00e-05        0.00e+00        1.22e-03        8.09e-04        8.87e-06        4.10e-05        6.85e-01        3.12e-01        1.33e+01
350.0  3.70e-04        4.84e-05        1.71e-07        1.81e-05        0.00e+00        1.61e-02        9.10e-04        7.71e-06        3.69e-05        6.74e-01        3.08e-01        1.50e+01
360.0  3.29e-04        4.32e-05        1.53e-07        1.61e-05        0.00e+00        5.31e-02        9.55e-04        6.21e-06        3.23e-05        6.48e-01        2.98e-01        1.73e+01
370.0  2.94e-04        3.88e-05        1.37e-07        1.44e-05        0.00e+00        8.63e-02        9.66e-04        4.97e-06        2.83e-05        6.24e-01        2.88e-01        1.98e+01
380.0  2.65e-04        3.51e-05        1.24e-07        1.30e-05        0.00e+00        1.14e-01        9.57e-04        3.98e-06        2.49e-05        6.05e-01        2.80e-01        2.24e+01
390.0  2.41e-04        3.20e-05        1.13e-07        1.18e-05        0.00e+00        1.36e-01        9.39e-04        3.19e-06        2.21e-05        5.89e-01        2.74e-01        2.52e+01
400.0  2.20e-04        2.94e-05        1.04e-07        1.08e-05        0.00e+00        1.53e-01        9.14e-04        2.57e-06        1.97e-05        5.76e-01        2.69e-01        2.82e+01
410.0  2.03e-04        2.72e-05        9.63e-08        9.91e-06        0.00e+00        1.67e-01        8.86e-04        2.07e-06        1.77e-05        5.67e-01        2.65e-01        3.12e+01
420.0  1.88e-04        2.53e-05        8.95e-08        9.18e-06        0.00e+00        1.77e-01        8.56e-04        1.67e-06        1.60e-05        5.59e-01        2.62e-01        3.44e+01
430.0  1.75e-04        2.37e-05        8.36e-08        8.54e-06        0.00e+00        1.85e-01        8.26e-04        1.34e-06        1.45e-05        5.53e-01        2.60e-01        3.77e+01
440.0  1.63e-04        2.22e-05        7.85e-08        7.99e-06        0.00e+00        1.91e-01        7.97e-04        1.08e-06        1.32e-05        5.49e-01        2.59e-01        4.11e+01
450.0  1.53e-04        2.09e-05        7.40e-08        7.50e-06        0.00e+00        1.95e-01        7.67e-04        8.72e-07        1.20e-05        5.46e-01        2.58e-01        4.46e+01
460.0  1.44e-04        1.98e-05        6.99e-08        7.06e-06        0.00e+00        1.98e-01        7.39e-04        7.00e-07        1.10e-05        5.43e-01        2.58e-01        4.82e+01
470.0  1.36e-04        1.87e-05        6.63e-08        6.67e-06        0.00e+00        2.00e-01        7.11e-04        5.60e-07        1.02e-05        5.42e-01        2.57e-01        5.20e+01
480.0  1.29e-04        1.78e-05        6.30e-08        6.31e-06        0.00e+00        2.00e-01        6.84e-04        4.47e-07        9.39e-06        5.41e-01        2.58e-01        5.58e+01
490.0  1.22e-04        1.70e-05        6.00e-08        5.99e-06        0.00e+00        2.00e-01        6.58e-04        3.55e-07        8.68e-06        5.41e-01        2.58e-01        5.98e+01
500.0  1.16e-04        1.62e-05        5.73e-08        5.70e-06        0.00e+00        2.00e-01        6.33e-04        2.82e-07        8.05e-06        5.41e-01        2.59e-01        6.40e+01
550.0  9.31e-05        1.31e-05        4.65e-08        4.55e-06        0.00e+00        1.90e-01        5.23e-04        9.15e-08        5.68e-06        5.46e-01        2.63e-01        8.67e+01
600.0  7.67e-05        1.10e-05        3.88e-08        3.75e-06        0.00e+00        1.76e-01        4.35e-04        6.21e-08        4.16e-06        5.55e-01        2.69e-01        1.13e+02
650.0  6.46e-05        9.37e-06        3.31e-08        3.16e-06        0.00e+00        1.61e-01        3.65e-04        9.94e-08        3.14e-06        5.64e-01        2.74e-01        1.44e+02
700.0  5.52e-05        8.11e-06        2.87e-08        2.70e-06        0.00e+00        1.46e-01        3.07e-04        1.62e-07        2.42e-06        5.74e-01        2.80e-01        1.79e+02
750.0  4.78e-05        7.10e-06        2.51e-08        2.34e-06        0.00e+00        1.32e-01        2.61e-04        2.33e-07        1.91e-06        5.82e-01        2.85e-01        2.19e+02
800.0  4.18e-05        6.27e-06        2.22e-08        2.04e-06        0.00e+00        1.20e-01        2.23e-04        3.02e-07        1.53e-06        5.90e-01        2.90e-01        2.64e+02
850.0  3.68e-05        5.58e-06        1.97e-08        1.80e-06        0.00e+00        1.09e-01        1.92e-04        3.67e-07        1.25e-06        5.97e-01        2.94e-01        3.16e+02
900.0  3.27e-05        5.00e-06        1.77e-08        1.60e-06        0.00e+00        9.87e-02        1.66e-04        4.25e-07        1.05e-06        6.04e-01        2.98e-01        3.73e+02
950.0  2.92e-05        4.51e-06        1.59e-08        1.43e-06        0.00e+00        8.99e-02        1.44e-04        4.78e-07        8.92e-07        6.09e-01        3.01e-01        4.37e+02
1000.0  2.63e-05        4.08e-06        1.44e-08        1.29e-06        0.00e+00        8.20e-02        1.26e-04        5.24e-07        7.75e-07        6.14e-01        3.04e-01        5.08e+02
1500.0  2.63e-05        4.08e-06        1.44e-08        1.29e-06        0.00e+00        8.20e-02        1.26e-04        5.24e-07        7.75e-07        6.14e-01        3.04e-01        5.08e+02
2000.0  2.63e-05        4.08e-06        1.44e-08        1.29e-06        0.00e+00        8.20e-02        1.26e-04        5.24e-07        7.75e-07        6.14e-01        3.04e-01        5.08e+02
2500.0  2.63e-05        4.08e-06        1.44e-08        1.29e-06        0.00e+00        8.20e-02        1.26e-04        5.24e-07        7.75e-07        6.14e-01        3.04e-01        5.08e+02
3000.0  2.63e-05        4.08e-06        1.44e-08        1.29e-06        0.00e+00        8.20e-02        1.26e-04        5.24e-07        7.75e-07        6.14e-01        3.04e-01        5.08e+02
4000.0  2.63e-05        4.08e-06        1.44e-08        1.29e-06        0.00e+00        8.20e-02        1.26e-04        5.24e-07        7.75e-07        6.14e-01        3.04e-01        5.08e+02
5000.0  2.63e-05        4.08e-06        1.44e-08        1.29e-06        0.00e+00        8.20e-02        1.26e-04        5.24e-07        7.75e-07        6.14e-01        3.04e-01        5.08e+02
