mH_GeV   XS_pb       Scale_pos  Scale_neg  Gauss   PDF_plus_alpha_s
600.00     1.001E+00    +1.8    -3.6      2.1     3.5
650.00     7.834E-01    +1.9    -3.6      2.1     3.7
700.00     6.206E-01    +1.9    -3.7      2.1     3.8
750.00     4.969E-01    +2.0    -3.7      2.1     4.0
800.00     4.015E-01    +2.0    -3.8      2.2     4.2
850.00     3.271E-01    +2.1    -3.8      2.2     4.4
900.00     2.685E-01    +2.1    -3.8      2.2     4.6
950.00     2.219E-01    +2.2    -3.9      2.3     4.8
1000.00     1.845E-01    +2.2    -4.0      2.3     5.0
1050.00     1.542E-01    +2.2    -4.0      2.3     5.2
1100.00     1.295E-01    +2.3    -4.0      2.3     5.4
1150.00     1.093E-01    +2.3    -4.1      2.4     5.6
1200.00     9.260E-02    +2.3    -4.1      2.4     5.9
1250.00     7.880E-02    +2.3    -4.1      2.4     6.1
1300.00     6.730E-02    +2.4    -4.2      2.4     6.3
1350.00     5.760E-02    +2.3    -4.2      2.4     6.6
1400.00     4.950E-02    +2.4    -4.2      2.4     6.8
1450.00     4.270E-02    +2.4    -4.2      2.4     7.0
1500.00     3.690E-02    +2.4    -4.3      2.5     7.3
1550.00     3.190E-02    +2.5    -4.3      2.5     7.6
1600.00     2.770E-02    +2.5    -4.3      2.5     7.8
1650.00     2.410E-02    +2.5    -4.4      2.5     8.1
1700.00     2.100E-02    +2.5    -4.5      2.6     8.5
1750.00     1.838E-02    +3.2    -4.4      2.5     8.7
1800.00     1.609E-02    +2.5    -4.4      2.5     8.9
1850.00     1.411E-02    +2.6    -4.4      2.5     9.1
1900.00     1.239E-02    +2.5    -4.4      2.5     9.4
1950.00     1.090E-02    +2.6    -4.5      2.6     9.7
2000.00     9.600E-03    +2.6    -4.5      2.6     9.7
2050.00     8.470E-03    +2.5    -4.5      2.6     10.0
2100.00     7.480E-03    +2.6    -4.5      2.6     10.5
2150.00     6.620E-03    +2.6    -4.5      2.6     10.8
2200.00     5.860E-03    +2.7    -4.6      2.7     11.2
2250.00     5.190E-03    +2.6    -4.6      2.7     11.8
2300.00     4.610E-03    +2.6    -4.5      2.6     12.0
2350.00     4.090E-03    +2.6    -4.5      2.6     12.1
2400.00     3.640E-03    +2.6    -4.5      2.6     12.4
2450.00     3.240E-03    +2.5    -4.5      2.6     12.7
2500.00     2.890E-03    +2.6    -4.5      2.6     13.1
2550.00     2.570E-03    +2.5    -4.5      2.6     13.4
2600.00     2.300E-03    +2.5    -4.5      2.6     13.7
2650.00     2.050E-03    +2.6    -4.6      2.7     14.1
2700.00     1.830E-03    +2.7    -4.7      2.7     14.5
2750.00     1.640E-03    +2.8    -4.8      2.8     14.8
2800.00     1.460E-03    +2.9    -4.9      2.8     15.2
2850.00     1.310E-03    +3.0    -5.0      2.9     15.6
2900.00     1.170E-03    +3.1    -5.2      3.0     15.9
2950.00     1.050E-03    +3.2    -5.3      3.1     16.3
3000.00     9.400E-04    +3.4    -5.5      3.2     16.7
3050.00     8.470E-04    +3.4    -5.5    0.0      17.3                                        
3100.00     7.600E-04    +3.5    -5.6    0.0      17.7                                        
3150.00     6.820E-04    +3.6    -5.7    0.0      18.1                                        
3200.00     6.130E-04    +3.7    -5.9    0.0      18.5                                        
3250.00     5.510E-04    +3.9    -6.0    0.0      19.0                                        
3300.00     4.950E-04    +4.0    -6.2    0.0      19.4                                        
3350.00     4.450E-04    +4.1    -6.3    0.0      19.9                                        
3400.00     4.000E-04    +4.3    -6.4    0.0      20.4                                        
3450.00     3.600E-04    +4.4    -6.6    0.0      20.9                                        
3500.00     3.240E-04    +4.5    -6.8    0.0      21.4                                        
3550.00     2.920E-04    +4.7    -6.9    0.0      21.9                                        
3600.00     2.630E-04    +4.8    -7.1    0.0      22.4                                        
3650.00     2.370E-04    +5.0    -7.2    0.0      22.9                                        
3700.00     2.130E-04    +5.1    -7.4    0.0      23.4                                        
3750.00     1.920E-04    +5.3    -7.6    0.0      24.0                                        
3800.00     1.730E-04    +5.5    -7.8    0.0      24.5                                        
3850.00     1.560E-04    +5.6    -7.9    0.0      25.1                                        
3900.00     1.410E-04    +5.8    -8.1    0.0      25.7                                        
3950.00     1.270E-04    +6.0    -8.3    0.0      26.3                                        
4000.00     1.140E-04    +6.1    -8.5    0.0      26.9                                        
4050.00     1.030E-04    +6.3    -8.7    0.0      27.5                                        
4100.00     9.300E-05    +6.5    -8.9    0.0      28.1                                        
4150.00     8.400E-05    +6.7    -9.1    0.0      28.7                                        
4200.00     7.600E-05    +6.9    -9.3    0.0      29.4                                        
4250.00     6.800E-05    +7.1    -9.5    0.0      30.0                                        
4300.00     6.100E-05    +7.3    -9.7    0.0      30.7                                        
4350.00     5.500E-05    +7.5    -10.0   0.0       31.4                                        
4400.00     5.000E-05    +7.7    -10.2   0.0       32.1                                        
4450.00     4.500E-05    +7.9    -10.4   0.0       32.8                                        
4500.00     4.100E-05    +8.1    -10.7   0.0       33.5                                        
4550.00     3.700E-05    +8.3    -10.9   0.0       34.2                                        
4600.00     3.300E-05    +8.5    -11.2   0.0       35.0                                        
4650.00     3.000E-05    +8.8    -11.4   0.0       35.7                                        
4700.00     2.700E-05    +9.0    -11.7   0.0       36.5                                        
4750.00     2.400E-05    +9.2    -11.9   0.0       37.3                                        
4800.00     2.200E-05    +9.5    -12.2   0.0       38.1                                        
4850.00     2.000E-05    +9.7    -12.5   0.0       38.9                                        
4900.00     1.800E-05    +10.0    -12.7  0.0        39.8                                        
4950.00     1.600E-05    +10.2    -13.0  0.0        40.6                                        
5000.00     1.400E-05    +10.5    -13.3  0.0        41.5    
