#                                                                        
#   isolation efficiencies for data on the left and MC on the right                                                                       
#      MC: MG+Py8                                                                   
#                                                                        
#
# 
#    
#                                                 data                                                      MC
#   etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                                        eff     deff_high       deff_low
-0.2    0.2     60      100     0.984403        0.000811055      0.000835731                           0.986797        0.000917334      0.00095563
0.2     0.3     60      100     0.986193        0.00659972       0.00861704                            0.986166        0.00206234       0.00223115
0.3     0.8     60      100     0.98672 0.00067135       0.000688585                                   0.988011        0.000806748      0.000836279
0.8     1.2     60      100     0.989035        0.000725358      0.000749454                           0.990877        0.000840524      0.000882168
1.2     1.6     60      100     0.989885        0.000750578      0.000775716                           0.993482        0.000751199      0.000790823
1.6     2.1     60      100     0.991299        0.000680529      0.000706254                           0.993043        0.000763558      0.000806582
2.1     2.4     60      100     0.99246 0.00114227       0.00121163                                    0.992304        0.00116672       0.00124701
-2.4    -2.1    100     200     0.993395        0.00373578       0.00409864                            0.998544        0.00145584       0.00399613
-2.1    -1.6    100     200     0.990057        0.00236601       0.00259324                            0.989322        0.00259725       0.00292077
-1.6    -1.2    100     200     0.995476        0.00163933       0.00185882                            0.993902        0.00240397       0.00269842
-1.2    -0.8    100     200     0.991572        0.00193967       0.00213462                            0.993214        0.00276593       0.00310873
-0.8    -0.3    100     200     0.989354        0.00180978       0.00195927                            0.992196        0.00223646       0.00249989
-0.3    -0.2    100     200     0.98771 0.00400919       0.00474723                                    1       0.00215796       0.00215796
-0.2    0.2     100     200     0.992854        0.00165681       0.00183617                            0.983353        0.00298731       0.00324164
0.2     0.3     100     200     0.985958        0.00416563       0.00491805                             0.986119        0.00472081       0.00609184
0.3     0.8     100     200     0.993463        0.00149478       0.00163645                             0.993966        0.00183651       0.00210923
0.8     1.2     100     200     0.991876        0.00209115       0.00230333                             0.992299        0.00230234       0.00263065
1.2     1.6     100     200     0.993163        0.00185242       0.00205318                             0.990772        0.00228635       0.00262807
1.6     2.1     100     200     0.993591        0.00199891       0.00225088                             0.992689        0.0019276        0.00231418
2.1     2.4     100     200     0.99355 0.00334172       0.00405336                                     0.985095        0.00418428       0.0051884
