#                                                                        
#   isolation efficiencies for data on the left and MC on the right                                                                       
#      MC: MG+Py8                                                                   
#                                                                        
#
# 
#    
#                                                 data                                                      MC
# etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                                                eff          deff_high       deff_low
-1.2    -0.8    35      40      0.955358        0.00122123       0.0012403                                           0.955951        0.0015006        0.00150819
-0.8    -0.3    35      40      0.947165        0.00109023       0.00110129                                           0.9546  0.00127737       0.00129117
-0.3    0.3     35      40      0.940951        0.00102243       0.00103084                                           0.9517  0.00117681       0.00119373
0.3     0.8     35      40      0.94853         0.00106797       0.00106987                                           0.951715        0.0012759        0.00129013
0.8     1.2     35      40      0.954088        0.00123435       0.00124812                                           0.956713        0.00147848       0.00149637
1.2     1.6     35      40      0.961779        0.00126039       0.00127065                                           0.966898        0.0015017        0.00153918
1.6     2.1     35      40      0.9689          0.00115282       0.00117128                                           0.968671        0.00143739       0.00145986
2.1     2.4     35      40      0.970156        0.00165289       0.00169567                                           0.977814        0.00168666       0.00174706
-2.4    -2.1    40      50      0.98484         0.000823781      0.000843549                                         0.98851 6.44943e-05      6.44943e-05
-2.1    -1.6    40      50      0.984935        3.08448e-05      3.08448e-05                                           0.987283        0.000624881      0.000602377
-1.6    -1.2    40      50      0.982767        0.000537592      0.000545648                                               0.984377        0.000641239      0.000650752
-1.2    -0.8    40      50      0.976647        0.000585462      0.000591715                                              0.980133        0.000686675      0.000699271
-0.8    -0.3    40      50      0.971713        0.000553662      0.000559926                                              0.976907        0.000652319      0.000641956
-0.3    0.3     40      50      0.968152        0.00053104       0.000535706                                              0.973704        0.000617569      0.000626634
0.3     0.8     40      50      0.972523        0.000544591      0.000548383                                              0.975655        0.000665261      0.000673131
0.8     1.2     40      50      0.976341        0.000583654      0.000585179                                              0.978486        3.02926e-05      3.02926e-05
1.2     1.6     40      50      0.980969        0.000556304      0.000560728                                              0.983608        0.000661408      0.000672683
1.6     2.1     40      50      0.984719        0.000508628      0.000516446                                              0.987071        0.000599156      0.000607535
2.1     2.4     40      50      0.984291        6.68396e-06      6.68396e-06                                              0.988037        0.000836998      0.000863021
-2.4    -2.1    50      60      0.988071        0.00154096       0.00163823                                              0.991151        0.00158307       0.00169022
-2.1    -1.6    50      60      0.99139         0.000834692      0.000870182                                                 0.991139        0.00103558       0.00109296
-1.6    -1.2    50      60      0.987044        0.000988617      0.00102805                                                 0.987254        0.00119659       0.0012364
-1.2    -0.8    50      60      0.984687        0.00100189       0.00103947                                                 0.986812        0.00120099       0.00125613
-0.8    -0.3    50      60      0.981774        0.00096412       0.000985442                                                 0.984868        0.00110755       0.00115904
-0.3    0.3     50      60      0.978749        0.000945381      0.000965281                                                 0.983715        0.00105166       0.00108828
0.3     0.8     50      60      0.982471        0.00095005       0.000979668                                                 0.985921        0.00108778       0.00112974
0.8     1.2     50      60      0.986529        0.000996865      0.00103426                                                 0.984679        0.00129957       0.00135813
1.2     1.6     50      60      0.988341        0.00097777       0.00101788                                                 0.989986        0.00108173       0.00112676
1.6     2.1     50      60      0.991095        0.000842159      0.000880853                                                 0.992713        0.00100912       0.00106689
2.1     2.4     50      60      0.987754        0.00134845       0.00141097                                                 0.995163        0.0012261        0.00134915
-2.4    -2.1    60      80      0.993393        0.00176414       0.00192075                                                 0.992812        0.0023421        0.00372113
-2.1    -1.6    60      80      0.99335         0.0011169        0.00120886                                                 0.993423        0.00145043       0.00161075
-1.6    -1.2    60      80      0.989962        0.00135751       0.00144257                                                 0.990823        0.00164902       0.00184346
-1.2    -0.8    60      80      0.988171        0.00133222       0.00140766                                                 0.99016 0.00159113       0.00173498
-0.8    -0.3    60      80      0.985373        0.00129767       0.00135371                                                 0.990758        0.00136364       0.00146926
-0.3    0.3     60      80      0.983782        0.00120047       0.00124701                                                 0.984858        0.00152372       0.00160477
0.3     0.8     60      80      0.986398        0.00121568       0.00127085                                                 0.987176        0.00161241       0.00171451
0.8     1.2     60      80      0.988456        0.00133865       0.00141351                                                 0.991417        0.00158208       0.00172435
1.2     1.6     60      80      0.990891        0.0013269        0.00141951                                                 0.992601        0.00163957       0.00179908
1.6     2.1     60      80      0.991651        0.001216         0.00130527                                                 0.991367        0.00160831       0.00176786
2.1     2.4     60      80      0.99147         0.00202762       0.0022303                                                 0.992967        0.00219527       0.00251934
-2.4    -2.1    80      120     1               0        0.00169513                                                      0.993674        0.00365237       0.00451818
-2.1    -1.6    80      120     0.995057        0.00190999       0.00220847                                               0.993637        0.00237863       0.00322318
-1.6    -1.2    80      120     0.994058        0.00188514       0.00214648                                               0.987185        0.00313329       0.00357866
-1.2    -0.8    80      120     0.989007        0.00246289       0.00243656                                               0.991389        0.00239309       0.00280329
-0.8    -0.3    80      120     0.989371        0.00195235       0.00212717                                               0.990457        0.0024171        0.00305263
-0.3    0.3     80      120     0.988869        0.00175731       0.00189933                                               0.987078        0.00232936       0.00257903
0.3     0.8     80      120     0.98921         0.00188082       0.00204042                                               0.991508        0.00206912       0.00233981
0.8     1.2     80      120     0.987439        0.0024149        0.00262579                                               0.98933 0.00309986       0.00357002
1.2     1.6     80      120     0.992815        0.00188658       0.00214019                                               0.996138        0.00187348       0.00246662
1.6     2.1     80      120     0.996796        0.00141992       0.00168449                                               0.99254 0.00252091       0.00296545
2.1     2.4     80      120     0.995412        0.00322512       0.00657389                                               0.990586        0.00346663       0.00459981
