#                                                                        
#   isolation efficiencies for data on the left and MC on the right                                                                       
#      MC: MG+Py8                                                                   
#                                                                        
#                                                        
#                                                 data                                                      MC
# etamin  etamax  ptmin   ptmax   eff     deff_high       deff_low                                                eff     deff_high       deff_low
1.6     2.1     30      35      0.993611        0.000986097      0.00104903                                         0.99003 0.000691424      0.00072419
2.1     2.4     30      35      0.993226        0.00137467       0.00137394                                         0.991574        0.000850073      0.000906842
-2.4    -2.1    35      40      0.997228        0.000575135      0.000664499                                         0.996633        0.00054422       0.000589774
-2.1    -1.6    35      40      0.996926        0.000528822      0.000577483                                         0.995806        0.000381363      0.000402686
-1.6    -1.2    35      40      0.996768        0.000573713      0.000620697                                         0.996007        0.000371054      0.000393105
-1.2    -0.8    35      40      0.993799        0.000577035      0.000613092                                         0.994614        0.000498154      0.000823387
-0.8    -0.3    35      40      0.996001        0.000460537      0.000491367                                         0.995543        0.000350738      0.000373449
-0.3    0.3     35      40      0.995999        0.000438219      0.000463032                                         0.995029        0.000331213      0.000351817
0.3     0.8     35      40      0.996282        0.000451172      0.00048021                                         0.995623        0.000346765      0.000364465
0.8     1.2     35      40      0.996765        0.000532883      0.000570659                                         0.997173        0.000356531      0.000377181
1.2     1.6     35      40      0.996906        0.000565008      0.000613323                                         0.996254        0.00036327       0.000388272
1.6     2.1     35      40      0.996155        0.000619223      0.000665546                                         0.996315        0.000389485      0.000389485
2.1     2.4     35      40      0.997942        0.00068721       0.000798219                                         0.996821        0.000582323      0.000665317
-2.4    -2.1    40      50      0.99845         0.000404117      0.00044933                                         0.99891 0.00018898       0.000211833
-2.1    -1.6    40      50      0.999131        0.000209214      0.000229796                                         0.998838        0.000152981      0.000162718
-1.6    -1.2    40      50      0.997728        0.000247707      0.000266829                                         0.998903        0.000145767      0.000156133
-1.2    -0.8    40      50      0.997812        0.000241411      0.000256405                                         0.998544        0.000164965      0.00017452
-0.8    -0.3    40      50      0.998447        0.000206947      0.000220749                                         0.998234        0.000151701      0.00015815
-0.3    0.3     40      50      0.998111        0.000207601      0.000219766                                         0.998108        0.000130141      0.000135043
0.3     0.8     40      50      0.998391        0.000213115      0.000226513                                         0.998581        0.000144053      0.000151817
0.8     1.2     40      50      0.998257        0.000244135      0.000262456                                         0.998527        0.000171832      0.000180698
1.2     1.6     40      50      0.998952        0.000209532      0.00022967                                         0.998402        0.00015362       0.000164112
1.6     2.1     40      50      0.998653        0.000221885      0.000221885                                         0.998661        0.000145106      0.000151629
2.1     2.4     40      50      0.998285        0.000348143      0.000375909                                         0.99895 0.000223242      0.000250097
-2.4    -2.1    50      60      0.998893        0.000475898      0.000655372                                         0.99902 0.000459941      0.000551304
-2.1    -1.6    50      60      0.998482        0.00056966       0.00056966                                         0.998913        0.000833982      0.000278808
-1.6    -1.2    50      60      0.999396        0.000387472      0.000490761                                         0.99809 0.000331469      0.000375309
-1.2    -0.8    50      60      0.997801        0.000498957      0.000567391                                         0.998044        0.000366475      0.000401169
-0.8    -0.3    50      60      0.998309        0.000433246      0.00047898                                         0.998043        0.000302221      0.000327785
-0.3    0.3     50      60      0.998286        0.000433612      0.000488405                                         0.997765        0.000679701      0.00031194
0.3     0.8     50      60      0.998425        0.000417037      0.000475472                                         0.998662        0.000283674      0.000317318
0.8     1.2     50      60      0.997665        0.00048817       0.000562199                                         0.998648        0.000348192      0.00039409
1.2     1.6     50      60      0.999198        0.000433065      0.000528863                                         0.998694        0.000326129      0.000388851
1.6     2.1     50      60      0.998508        0.000539         0.00062608                                         0.998705        0.000307471      0.00032668
2.1     2.4     50      60      0.998062        0.000656713      0.000846456                                         0.998722        0.000517676      0.000592908
-2.4    -2.1    60      80      0.99874         0.000694618      0.00111265                                         0.99816 0.000700636      0.000936827
-2.1    -1.6    60      80      0.996923        0.000994719      0.00116476                                         0.998207        0.000484508      0.000586078
-1.6    -1.2    60      80      0.998459        0.000855144      0.00109518                                         0.997904        0.000524588      0.000632558
-1.2    -0.8    60      80      0.998287        0.000657783      0.000817206                                         0.997301        0.000575184      0.000669251
-0.8    -0.3    60      80      0.998219        0.000709115      0.000842492                                         0.997331        0.000580415      0.000657106
-0.3    0.3     60      80      0.998096        0.000704151      0.000819601                                         0.996885        0.000516862      0.000566588
0.3     0.8     60      80      0.997795        0.000752165      0.000882055                                         0.997747        0.000541738      0.000606478
0.8     1.2     60      80      0.998049        0.000630858      0.000773584                                         0.998367        0.00042361       0.000512862
1.2     1.6     60      80      0.996941        0.000845333      0.00103022                                         0.999166        0.000420152      0.000530793
1.6     2.1     60      80      0.998286        0.000772058      0.000956727                                         0.996619        0.000683328      0.000779427
2.1     2.4     60      80      0.998657        0.000740361      0.00118391                                         0.997881        0.000741666      0.00096559
-2.4    -2.1    80      120     1               0        0.00218357                                                 1       0        0.00235442
-2.1    -1.6    80      120     1               0        0.00153898                                                 0.997784        0.00100079       0.00135812
-1.6    -1.2    80      120     0.997816        0.00132351       0.0017558                                         0.997624        0.000915444      0.0012353
-1.2    -0.8    80      120     0.995342        0.00201957       0.00252428                                         0.996425        0.00110017       0.00138851
-0.8    -0.3    80      120     0.996696        0.00165872       0.00206526                                         0.995702        0.0012408        0.00148222
-0.3    0.3     80      120     0.996897        0.00124075       0.00156136                                         0.997364        0.00102301       0.00121949
0.3     0.8     80      120     0.994569        0.00147453       0.00180217                                         0.996558        0.000969298      0.00119229
0.8     1.2     80      120     0.998681        0.00130722       0.00195862                                         0.998287        0.00073667       0.00102708
1.2     1.6     80      120     0.997435        0.00168595       0.00237655                                         0.995721        0.00128954       0.00161256
1.6     2.1     80      120     0.996551        0.00160831       0.00217002                                         0.997261        0.0010279        0.00137292
2.1     2.4     80      120     0.997782        0.00154962       0.00301942                                         0.996198        0.00202565       0.00270743
-2.4    -2.1    120     200     1               0        0.0227206                                                  1       0        0.0131702
-2.1    -1.6    120     200     0.990852        0.0076511        0.00807361                                         1       0        0.00169517
-1.6    -1.2    120     200     0.993074        0.00380787       0.00609555                                         1       0        0.00440369
-1.2    -0.8    120     200     0.99411         0.00324483       0.00520025                                         0.989599        0.00397207       0.00532688
-0.8    -0.3    120     200     1               0        0.00581967                                                 0.995058        0.00226697       0.00328824
-0.3    0.3     120     200     0.995351        0.00327368       0.00455508                                         0.993118        0.00282598       0.00371726
0.3     0.8     120     200     0.993153        0.00393022       0.00795462                                         0.99493 0.00261622       0.00373515
0.8     1.2     120     200     1               0        0.00617266                                                 0.992114        0.0040326        0.00560017
1.2     1.6     120     200     0.992892        0.00623125       0.00919793                                         0.997454        0.0017408        0.00331445
1.6     2.1     120     200     1               0        0.00821308                                                 0.992002        0.0037266        0.00548213
2.1     2.4     120     200     1               0        0.0218649                                                  1       0        0.0121732
